序号, 名称                            , 链接                                                                        , 文件名                                , 一致性, 类型              , 标准化名称                      , 标准化文件名
   1, Beetroot                        , https://aptamer.ribocentre.org/_posts/Beetroot-aptamer                      , Beetroot-aptamer                      , True  , 名称包含在文件名中, beetroot                        , beetroot-aptamer
   2, Broccoli                        , https://aptamer.ribocentre.org/_posts/Broccoli-aptamer                      , Broccoli-aptamer                      , True  , 名称包含在文件名中, broccoli                        , broccoli-aptamer
   3, Chili                           , https://aptamer.ribocentre.org/_posts/Chili-aptamer                         , Chili-aptamer                         , True  , 名称包含在文件名中, chili                           , chili-aptamer
   4, Clivias                         , https://aptamer.ribocentre.org/_posts/Clivias-aptamer                       , Clivias-aptamer                       , True  , 名称包含在文件名中, clivias                         , clivias-aptamer
   5, Corn                            , https://aptamer.ribocentre.org/_posts/Corn-aptamer                          , Corn-aptamer                          , True  , 名称包含在文件名中, corn                            , corn-aptamer
   6, Mango                           , https://aptamer.ribocentre.org/_posts/Mango-aptamer(TO1-biotin)             , Mango-aptamer(TO1-biotin)             , True  , 名称包含在文件名中, mango                           , mango-aptamerto1-biotin
   7, Mango II                        , https://aptamer.ribocentre.org/_posts/Mango-aptamer(TO1-biotin)             , Mango-aptamer(TO1-biotin)             , False , 不匹配            , mango ii                        , mango-aptamerto1-biotin
   8, Mango III                       , https://aptamer.ribocentre.org/_posts/Mango-III-aptamer(YO3)                , Mango-III-aptamer(YO3)                , False , 不匹配            , mango iii                       , mango-iii-aptameryo3
   9, Mango IV                        , https://aptamer.ribocentre.org/_posts/Mango-III-aptamer(YO3)                , Mango-III-aptamer(YO3)                , False , 不匹配            , mango iv                        , mango-iii-aptameryo3
  10, Pepper                          , https://aptamer.ribocentre.org/_posts/Pepper-aptamer                        , Pepper-aptamer                        , True  , 名称包含在文件名中, pepper                          , pepper-aptamer
  11, RhoBAST                         , https://aptamer.ribocentre.org/_posts/RhoBAST-aptamer                       , RhoBAST-aptamer                       , True  , 名称包含在文件名中, rhobast                         , rhobast-aptamer
  12, Spinach                         , https://aptamer.ribocentre.org/_posts/Spinach-aptamer                       , Spinach-aptamer                       , True  , 名称包含在文件名中, spinach                         , spinach-aptamer
  13, Squash                          , https://aptamer.ribocentre.org/_posts/Squash-aptamer                        , Squash-aptamer                        , True  , 名称包含在文件名中, squash                          , squash-aptamer
  14, 5HTP                            , https://aptamer.ribocentre.org/_posts/5HTP-aptamer                          , 5HTP-aptamer                          , True  , 名称包含在文件名中, 5htp                            , 5htp-aptamer
  15, ATP                             , https://aptamer.ribocentre.org/_posts/ATP-aptamer                           , ATP-aptamer                           , True  , 名称包含在文件名中, atp                             , atp-aptamer
  16, Arginine                        , https://aptamer.ribocentre.org/_posts/Arginine-aptamer                      , Arginine-aptamer                      , True  , 名称包含在文件名中, arginine                        , arginine-aptamer
  17, Biotin                          , https://aptamer.ribocentre.org/_posts/Biotin-aptamer                        , Biotin-aptamer                        , True  , 名称包含在文件名中, biotin                          , biotin-aptamer
  18, Citrulline                      , https://aptamer.ribocentre.org/_posts/Citrulline-aptamer                    , Citrulline-aptamer                    , True  , 名称包含在文件名中, citrulline                      , citrulline-aptamer
  19, FAD                             , https://aptamer.ribocentre.org/_posts/FAD-aptamer.html                      , FAD-aptamer                           , True  , 名称包含在文件名中, fad                             , fad-aptamer
  20, FMN                             , https://aptamer.ribocentre.org/_posts/FMN-aptamer                           , FMN-aptamer                           , True  , 名称包含在文件名中, fmn                             , fmn-aptamer
  21, GTP                             , https://aptamer.ribocentre.org/_posts/GTP-aptamer                           , GTP-aptamer                           , True  , 名称包含在文件名中, gtp                             , gtp-aptamer
  22, HTLV-1 arginine-rich Rex peptide, https://aptamer.ribocentre.org/_posts/HTLV-1-Rex-peptide-aptamer.html              , HTLV-1-Rex-peptide-aptamer                   , False , 部分匹配          , htlv-1 arginine-rich rex peptide, HTLV-1-Rex-peptide-aptamer
  23, TMR                             , https://aptamer.ribocentre.org/_posts/TMR-aptamer                           , TMR-aptamer                           , True  , 名称包含在文件名中, tmr                             , tmr-aptamer
  24, Vitamin B12                     , https://aptamer.ribocentre.org/_posts/Vitamin-B12-aptamer                   , Vitamin-B12-aptamer                   , False , 部分匹配          , vitamin b12                     , vitamin-b12-aptamer
