序号,名称,链接,文件名,一致性,类型,标准化名称,标准化文件名
1,Fluorescein,https://aptamer.ribocentre.org/_posts/FB-1-aptamer,FB-1-aptamer,False,不匹配,fluorescein,fb-1-aptamer
2,Hoechst,https://aptamer.ribocentre.org/_posts/II-mini3-4-aptamer,II-mini3-4-aptamer,False,不匹配,hoechst,ii-mini3-4-aptamer
3,Okra,https://aptamer.ribocentre.org/_posts/Okra-aptamer,Okra-aptamer,True,名称包含在文件名中,okra,okra-aptamer
4,Dopamine,https://aptamer.ribocentre.org/_posts/Dopamine-aptamer,Dopamine-aptamer,True,名称包含在文件名中,dopamine,dopamine-aptamer
5,Sialyl Lewis X,https://aptamer.ribocentre.org/_posts/Clone-5-aptamer,Clone-5-aptamer,False,不匹配,sialyl lewis x,clone-5-aptamer
6,Sphingosylphosphorylcholine,https://aptamer.ribocentre.org/_posts/SPC-aptamer,SPC-aptamer,False,不匹配,sphingosylphosphorylcholine,spc-aptamer
7,Xanthine,https://aptamer.ribocentre.org/_posts/XBA-RNA-aptamer,XBA-RNA-aptamer,False,部分匹配,xanthine,xba-rna-aptamer
8,cAMP,https://aptamer.ribocentre.org/_posts/cAMP-aptamer,cAMP-aptamer,True,名称包含在文件名中,camp,camp-aptamer
9,ATP(2),https://aptamer.ribocentre.org/_posts/rafl7s-aptamer,rafl7s-aptamer,False,不匹配,atp2,rafl7s-aptamer
10,ATP(3),https://aptamer.ribocentre.org/_posts/bG40min-aptamer,bG40min-aptamer,False,不匹配,atp3,bg40min-aptamer
11,Adenine,https://aptamer.ribocentre.org/_posts/Adenine-aptamer,Adenine-aptamer,True,名称包含在文件名中,adenine,adenine-aptamer
12,Chloramphenicol,https://aptamer.ribocentre.org/_posts/Chloramphenicol-aptamer,Chloramphenicol-aptamer,True,名称包含在文件名中,chloramphenicol,chloramphenicol-aptamer
13,Lividomycin,https://aptamer.ribocentre.org/_posts/Lividomycin-aptamer,Lividomycin-aptamer,True,名称包含在文件名中,lividomycin,lividomycin-aptamer
14,SRB-2 aptamer,https://aptamer.ribocentre.org/_posts/SRB-2-aptamer,SRB-2-aptamer,False,部分匹配,srb-2 aptamer,srb-2-aptamer
15,Tobramycin,https://aptamer.ribocentre.org/_posts/J6f1-aptamer,J6f1-aptamer,False,不匹配,tobramycin,j6f1-aptamer
16,Doxycyline,https://aptamer.ribocentre.org/_posts/Doxycyline-aptamer,Doxycyline-aptamer,True,名称包含在文件名中,doxycyline,doxycyline-aptamer
17,Codeine,https://aptamer.ribocentre.org/_posts/Codeine-aptamer,Codeine-aptamer,True,名称包含在文件名中,codeine,codeine-aptamer
18,T4 DNA polymerase,https://aptamer.ribocentre.org/_posts/Gp43-aptamer,Gp43-aptamer,False,部分匹配,t4 dna polymerase,gp43-aptamer
19,Basic fibroblast growth factor,https://aptamer.ribocentre.org/_posts/bFGF-aptamer,bFGF-aptamer,False,不匹配,basic fibroblast growth factor,bfgf-aptamer
20,Protein kinase C,https://aptamer.ribocentre.org/_posts/PKC-aptamer,PKC-aptamer,False,部分匹配,protein kinase c,pkc-aptamer
21,Vascular Endothelial Growth Factor,https://aptamer.ribocentre.org/_posts/VEGF-aptamer,VEGF-aptamer,False,不匹配,vascular endothelial growth factor,vegf-aptamer
22,L-selectin,https://aptamer.ribocentre.org/_posts/L-selectin-aptamer,L-selectin-aptamer,True,名称包含在文件名中,l-selectin,l-selectin-aptamer
23,E2F,https://aptamer.ribocentre.org/_posts/E2F1-aptamer,E2F1-aptamer,True,名称包含在文件名中,e2f,e2f1-aptamer
24,Complement component 5,https://aptamer.ribocentre.org/_posts/Complement-component-5-aptamer,Complement-component-5-aptamer,False,部分匹配,complement component 5,complement-component-5-aptamer
