序号,文件名,Title,分类
1,10G-1-aptamer,HCV NS3 protease_10G-1 aptamer,其他蛋白质
2,3Dpol-aptamer,3Dpol aptamer,其他蛋白质
3,HIV-1-Rev-protein_59-aptamer,HIV-1 Rev protein_59 aptamer,其他蛋白质
4,5HTP-aptamer,5HTP aptamer,其他蛋白质
5,A30-aptamer,A30 aptamer,其他蛋白质
6,AB9-aptamer,AMPA and kainate receptors_AB9 aptamer,其他蛋白质
7,AML1(RUNX1)-aptamer,AML1 (RUNX1) aptamer,其他蛋白质
8,AMPA-receptors-Aptamer,AMPA receptors aptamer,其他蛋白质
9,GluR2-AMPA-receptors_AN58-aptamer,GluR2 AMPA receptors_AN58 aptamer,其他蛋白质
10,Activated-T-Cells-Nuclear-Factor-aptamer,Activated T Cells' Nuclear Factor aptamer,其他蛋白质
11,Angiopoietin-2-aptamer,Angiopoietin-2 aptamer,其他蛋白质
12,Aβ42-aptamer,Aβ42 aptamer,其他蛋白质
13,B1-CT-aptamer,B1-CT aptamer,其他蛋白质
14,B4-25-aptamer,"Reactive Blue 4_B4-25 aptamer, Cibacron Blue 3GA_CB-42 aptamer",其他蛋白质
15,Serine_arginine-rich-(SR)-proteins_B52-aptamer,Serine/arginine-rich (SR) proteins_B52 aptamer,其他蛋白质
16,Basic-fibroblast-growth-factor-aptamer,Basic fibroblast growth factor aptamer,其他蛋白质
17,Bovine-factor-IX-aptamer,Bovine factor IX aptamer,其他蛋白质
18,Bovine-thrombin-aptamer,Bovine thrombin aptamer,其他蛋白质
19,C.albicans-aptamer,C.albicans aptamer,其他蛋白质
20,HIV-1-Rev-protein_C52-aptamer,HIV-1 Rev protein_C52 aptamer,其他蛋白质
21,CED-9-aptamer,CED-9 aptamer,其他蛋白质
22,Chemokine-CCL17-aptamer,Chemokine CCL17 aptamer,其他蛋白质
23,HIV-1-Tat-protein_Clone-31-aptamer,HIV-1 Tat protein_Clone 31 aptamer,其他蛋白质
24,Clone-5-aptamer,Clone 5 aptamer,其他蛋白质
25,Colicin-Prostate-cancer-cells_E3-aptamer,Colicin Prostate cancer cells_E3 aptamer,其他蛋白质
26,Complement-component-5-aptamer,Complement component 5 aptamer,其他蛋白质
27,CsrA-aptamer,CsrA aptamer,其他蛋白质
28,CypB-aptamer,CypB aptamer,其他蛋白质
29,Cytohesin-2-aptamer,Cytohesin-2 aptamer,其他蛋白质
30,D8-aptamer,D8 aptamer,其他蛋白质
31,DIR2s-apt-aptamer,DIR2s-apt aptamer,其他蛋白质
32,DP3-aptamer,DP3 aptamer,其他蛋白质
33,E2-aptamer,E2 aptamer,其他蛋白质
34,E2F1-aptamer,E2F1 aptamer,其他蛋白质
35,Prostate-cancer-cells_E3-aptamer,Prostate cancer cells_E3 aptamer,其他蛋白质
36,ERα-aptamer,ERα aptamer,其他蛋白质
37,Elongation-factor-SelB-aptamer,Elongation factor SelB aptamer,其他蛋白质
38,Escherichia-coli-aptamer,Escherichia coli aptamer,其他蛋白质
39,FB-1-aptamer,FB-1 aptamer,其他蛋白质
40,Factor-Xa-aptamer,Factor Xa aptamer,其他蛋白质
41,G6-16-aptamer,G6-16 aptamer,其他蛋白质
42,HCV-NS3-protease_G9-II-aptamer,HCV NS3 protease_G9-II aptamer,其他蛋白质
43,Glioma-cells_GL56-aptamer,Glioma cells_GL56 aptamer,其他蛋白质
44,GRK2-aptamer,GRK2 aptamer,其他蛋白质
45,Gastrointestinal-carcinoembryonic-antigen-(CEA)-aptamer,Gastrointestinal carcinoembryonic antigen (CEA) aptamer,其他蛋白质
46,GlnRs-aptamer,GlnRs aptamer,其他蛋白质
47,Glycoprotein-2-(GP2)-protein-aptamer,Glycoprotein 2 (GP2) protein aptamer,其他蛋白质
48,Gp43-aptamer,T4 gp43 aptamer,其他蛋白质
49,HIRRV-aptamer,HIRRV aptamer,其他蛋白质
50,Hemagglutinin-(HA)-protein-aptamer,Hemagglutinin (HA) protein aptamer,其他蛋白质
51,Hemagglutinin-aptamer,Hemagglutinin aptamer,其他蛋白质
52,Hfq-aptamer,Hfq aptamer,其他蛋白质
53,Human-activated-protein-C-aptamer,Human activated protein C aptamer,其他蛋白质
54,II-mini3-4-aptamer,II-mini3-4 aptamer,其他蛋白质
55,IL-17A-aptamer,IL-17A aptamer,其他蛋白质
56,IL2-CD25-aptermer,IL2-CD25 aptermer,其他蛋白质
57,IgG-aptamer,IgG aptamer,其他蛋白质
58,Integrin-beta-chain-2-(CD18)-aptamer,Integrin beta chain-2 (CD18) aptamer,其他蛋白质
59,Interleukin-6-receptor-domain-3-(IL-6R-D3)-aptamer,Interleukin-6 receptor domain 3 (IL-6R D3) aptamer,其他蛋白质
60,J18-aptamer,J18 aptamer,其他蛋白质
61,J6f1-aptamer,J6f1 aptamer,其他蛋白质
62,L-CCL2-aptamer,L-CCL2 aptamer,其他蛋白质
63,L-SUP-A-004-aptamer,L-SUP-A-004 aptamer,其他蛋白质
64,L-selectin-aptamer,L-selectin aptamer,其他蛋白质
65,LR06-aptamer,LR06(GA) aptamer,其他蛋白质
66,Lysozyme-aptamer,Lysozyme aptamer,其他蛋白质
67,MG-aptamer,MG aptamer,其他蛋白质
68,Drosophila-muscleblind-protein-Mbl-aptamer,Drosophila muscleblind protein Mbl aptamer,其他蛋白质
69,Mitochondrion-aptamer,Mitochondrion aptamer,其他蛋白质
70,NF-kappaB-aptamer,NF-kappaB P50 aptamer,其他蛋白质
71,NFAT-aptamer,NFAT aptamer,其他蛋白质
72,Neurotensin-receptor-NTS-1-aptamer,Neurotensin receptor NTS-1 aptamer,其他蛋白质
73,OX40-aptamer,OX40 aptamer,其他蛋白质
74,Okra-aptamer,Okra aptamer,其他蛋白质
75,PAI-1-aptamer,PAI-1 aptamer,其他蛋白质
76,PKC-aptamer,PKC aptamer,其他蛋白质
77,PTP1B-aptamer,PTP1B aptamer,其他蛋白质
78,Pepocin-aptamer,Pepocin aptamer,其他蛋白质
79,Peptide-release-factor-1-aptamer,Peptide release factor 1 aptamer,其他蛋白质
80,Protein-tyrosine-phosphatases-aptamer,Protein tyrosine phosphatases aptamer,其他蛋白质
81,R5-helix-peptide-aptamer,R5 helix peptide aptamer,其他蛋白质
82,RANK-aptamer,RANK aptamer,其他蛋白质
83,RF-1-aptamer,RF-1 aptamer,其他蛋白质
84,Raf-1-aptamer,Raf-1 aptamer,其他蛋白质
85,Restriction-endonucleases-(REases)-KpnI-aptamer,Restriction endonucleases (REases) KpnI aptamer,其他蛋白质
86,HTLV-1-Rex-peptide-aptamer,Rex protein aptamer,其他蛋白质
87,SPC-aptamer,SPC aptamer,其他蛋白质
88,SRB-2-aptamer,SRB-2 aptamer,其他蛋白质
89,Subtilisin-aptamer,Subtilisin aptamer,其他蛋白质
90,TCF-1-aptamer,TCF-1 aptamer,其他蛋白质
91,TMR-aptamer,TMR aptamer,其他蛋白质
92,TbRIII-aptamer,TbRIII aptamer,其他蛋白质
93,TetR-aptamer,TetR aptamer,其他蛋白质
94,TfR-ECD-aptamer,TfR-ECD aptamer,其他蛋白质
95,The-protein-calsenilin-aptamer,The protein calsenilin aptamer,其他蛋白质
96,Thrombin-aptamer,Thrombin aptamer,其他蛋白质
97,Trypanosome-VSG-aptamer,Trypanosome VSG aptamer,其他蛋白质
98,Type-IVB-Pili-aptamer,Type IVB Pili aptamer,其他蛋白质
99,Tyr-1-aptamer,Tyr 1 aptamer,其他蛋白质
100,Ubiquitin-carboxyl-terminal-hydrolase37-(UCH37)-aptamer,Ubiquitin carboxyl-terminal hydrolase37 (UCH37) aptamer,其他蛋白质
101,Upstream-of-N-Ras-aptamer,Upstream of N-Ras aptamer,其他蛋白质
102,VEGF-aptamer,VEGF aptamer,其他蛋白质
103,Vascular-endothelial-growth-factor-aptamer,Vascular Endothelial Growth Factor(VEGF),其他蛋白质
104,WL-2-aptamer,WL-2 aptamer,其他蛋白质
105,HTLV-1-Tax-protein_YT1-aptamer,HTLV-1 Tax protein_YT1 aptamer,其他蛋白质
106,ZAP-aptamer,ZAP aptamer,其他蛋白质
107,bFGF-aptamer,bFGF aptamer,其他蛋白质
108,bG40min-aptamer,bG40min aptamer,其他蛋白质
109,bacteriophage-MS2-coat-protein-aptamer,Bacteriophage MS2 coat protein aptamer,其他蛋白质
110,eIF4A-aptamer,eIF4A aptamer,其他蛋白质
111,eIF4E-aptamer,eIF4E aptamer,其他蛋白质
112,hTNF-α-aptamer,hTNF α aptamer,其他蛋白质
113,β-catenin_pUC19-aptamer,β-catenin_pUC19 aptamer,其他蛋白质
114,polβ-aptamer,polβ aptamer,其他蛋白质
115,rafl7s-aptamer,rafl7s aptamer,其他蛋白质
116,s23-aptamer,s23 aptamer,其他蛋白质
117,β55-aptamer,β55 aptamer,其他蛋白质
118,16S-rRNA-decoding-region-aptamer,16S rRNA decoding region aptamer,核酸相关
119,FC-RNA-aptamer,FC RNA aptamer,核酸相关
120,RNA-stem-loop-aptamer,RNA stem loop aptamer,核酸相关
121,Ribosomal-protein-S8-aptamer,Ribosomal protein S8 aptamer,核酸相关
122,XBA-RNA-aptamer,XBA RNA aptamer,核酸相关
123,Yeast-phenylalanine-tRNA-aptamer,Yeast phenylalanine tRNA aptamer,核酸相关
124,tMG-RNA-aptamer,tMG RNA aptamer,核酸相关
125,ATP-aptamer,ATP aptamer,小分子化合物
126,Adenine-aptamer,Adenine aptamer,小分子化合物
127,Arginine-aptamer,Arginine aptamer,小分子化合物
128,Biotin-aptamer,Biotin aptamer,小分子化合物
129,Chloramphenicol-aptamer,Chloramphenicol aptamer,小分子化合物
130,Citrulline-aptamer,Citrulline aptamer,小分子化合物
131,Codeine-aptamer,Codeine aptamer,小分子化合物
132,D-Arginine-aptamer,D-Arginine,小分子化合物
133,Dopamine-aptamer,Dopamine aptamer,小分子化合物
134,Doxycyline-aptamer,Doxycyline aptamer,小分子化合物
135,FAD-aptamer,FAD aptamer,小分子化合物
136,FMN-aptamer,FMN aptamer,小分子化合物
137,GTP-aptamer,GTP aptamer,小分子化合物
138,Lividomycin-aptamer,Lividomycin aptamer,小分子化合物
139,Mango-aptamer(TO1-biotin),Mango aptamer & Mango-II aptamer,小分子化合物
140,NeomycinB-aptamer,NeomycinB aptamer,小分子化合物
141,Ribostamycin-aptamer,"Ribostamycin aptamer, Paromomycin aptamer",小分子化合物
142,Streptomycin-aptamer,Streptomycin aptamer,小分子化合物
143,Tetracycline-aptamer,Tetracycline aptamer,小分子化合物
144,Theophylline-aptamer,Theophylline aptamer,小分子化合物
145,Tobramycin-aptamer,Tobramycin aptamer,小分子化合物
146,Vitamin-B12-aptamer,Vitamin B12 aptamer,小分子化合物
147,cAMP-aptamer,cAMP aptamer,小分子化合物
148,Beetroot-aptamer,Beetroot aptamer,荧光适配体
149,Beetroot-aptamer(DFAME),Beetroot aptamer(DFAME),荧光适配体
150,Beetroot-aptamer(ThT),Beetroot aptamer(ThT),荧光适配体
151,Broccoli-aptamer,Broccoli aptamer,荧光适配体
152,Chili-aptamer,Chili aptamer,荧光适配体
153,Clivias-aptamer,Clivias aptamer,荧光适配体
154,Corn-aptamer,Corn aptamer,荧光适配体
155,Mango-III-aptamer(YO3),Mango-III aptamer & Mango-IV aptamer,荧光适配体
156,Pepper-aptamer,Pepper aptamer,荧光适配体
157,RhoBAST-aptamer,RhoBAST aptamer,荧光适配体
158,Spinach-RNA-aptamer,"Spinach RNA aptamer, Aptamer 24-2-min(Spinach)",荧光适配体
159,Spinach-aptamer,Spinach aptamer,荧光适配体
160,Squash-aptamer,Squash aptamer,荧光适配体
161,Bovine-prion-protein-aptamer,Bovine prion protein aptamer,朊病毒
162,Hamster-prion-protein-aptamer,Hamster prion protein aptamer,朊病毒
163,Sheep-prion-protein-aptamer,Sheep prion protein aptamer,朊病毒
164,Cell-line-Hep3B-CD133-aptamer,Cell line Hep3B CD133 aptamer,细胞和癌症
165,Cancer-antigen-72–4-aptamer,Cancer antigen 72–4 aptamer,细胞和癌症
166,Gastrointestinal-cancer-antigen-50-aptamer,Gastrointestinal cancer antigen 50 aptamer,细胞和癌症
167,Breast-cancer-cells_HER2-aptamer,Breast cancer cells_HER2 aptamer,细胞和癌症
168,Mixed-lineage-leukemia-proteins-aptermer,Mixed lineage leukemia proteins aptermer,细胞和癌症
169,PSMA-aptamer,PSMA aptamer,细胞和癌症
170,TNBC-aptamer,TNBC aptamer,细胞和癌症
171,Wilms-tumor-protein-aptamer,Wilms tumor protein aptamer,细胞和癌症
172,CE-SELEX,Capillary electrophoresis-SELEX(CE-SELEX),SELEX方法
173,Cell-SELEX,Cell-SELEX,SELEX方法
174,Conventional-SELEX,Conventional SELEX,SELEX方法
175,In-vivo-SELEX,In vivo SELEX,SELEX方法
176,MB-SELEX,Magnetic-based SELEX(MB-SELEX),SELEX方法
177,One-round-SELEX,One round-SELEX,SELEX方法
178,H3N2-aptamer,H3N2 aptamer,病毒相关
179,HBV-P-protein-aptamer,HBV P protein aptamer,病毒相关
180,HCV-NS5B-protein-aptamer,HCV NS5B protein aptamer,病毒相关
181,HCV-NS5BΔC55-aptamer,HCV NS5BΔC55 aptamer,病毒相关
182,HIV-1-CA-aptamer,HIV-1 CA aptamer,病毒相关
183,HIV-1-PR-aptamer,HIV-1 PR aptamer,病毒相关
184,HIV-1-REV-peptide-aptamer,HIV-1 REV peptide aptamer,病毒相关
185,HIV-1-RT-aptamer,HIV-1 RT aptamer,病毒相关
186,HIV-1-Rev-aptamer,HIV-1 Rev protein (3),病毒相关
187,HIV-1-TAR-RNA-aptamer,HIV-1 TAR RNA aptamer,病毒相关
188,HIV-1-integrase-aptamer,HIV-1 integrase aptamer,病毒相关
189,HIV-Tat-aptamer,HIV Tat aptamer,病毒相关
190,H5N1_H7N7-Hemagglutinin-aptamer,H5N1/H7N7 Hemagglutinin aptamer,病毒相关
191,HPV-16-E7-oncoprotein-aptamer,HPV-16 E7 oncoprotein aptamer,病毒相关
192,HSV-1-US11-aptamer,HSV-1 US11 aptamer,病毒相关
193,SARS-CoV-N-protein-aptamer,SARS-CoV N protein aptamer,病毒相关
